,Team,GetSet,GetPoint,1SetPoint,2SetPoint,3SetPoint,4SetPoint,5SetPoint,TotalPoint,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,TF,OpE,LostSet,LostPoint,Op1SetPoint,Op2SetPoint,Op3SetPoint,Op4SetPoint,Op5SetPoint,OpTotalPoint,OpAA,OpAP,OpAE,OpASucc%,OpAP/S,OpBAA,OpBAP,OpBAE,OpBASucc%,OpBP,OpBP/S,OpSVA,OpSVP,OpSVE,OpSVx,OpSVEff%,OpRA,OpRx,OpRg,OpRSucc%,OpTF,OpOpE,GameId,Spectators,Point,Set,AEff%,BAEff%
0,JTサンダーズ広島,39,32,446,470,485,220.0,17.0,1638,1903,941,128,49.4,13.07,393,204,36,51.9,154,0.62,1637,84,305,389,6.4,1326,598,266,55.1,50.0,459,33,28,472,445,456,240.0,30.0,1643,1906,981,124,1021.3,270.38,435,223,48,1013.0,128,35.73,1644,51,300,428,91.0,1297,604.0,255.0,1136.4,35.0,483,3007,28902,1179,72,42.7,42.7
1,VC長野トライデンツ,14,4,399,407,374,224.0,11.0,1415,1859,839,126,45.1,12.16,368,163,45,44.3,108,0.42,1433,41,235,289,3.8,1373,628,291,56.3,40.0,427,55,53,475,467,473,268.0,15.0,1698,1851,1027,115,1062.8,281.93,393,220,39,1067.0,180,50.08,1680,90,270,401,141.3,1179,611.0,256.0,1212.5,42.0,401,2786,20259,988,69,38.4,32.1
2,ウルフドッグス名古屋,49,46,493,471,488,140.0,32.0,1624,1822,921,113,50.5,13.54,407,223,42,54.8,199,0.87,1607,40,223,412,5.4,1160,590,270,62.5,47.0,464,19,14,418,428,421,141.0,28.0,1436,1938,879,149,906.6,257.34,418,187,46,898.4,128,38.08,1453,46,272,275,59.1,1369,560.0,372.0,1092.3,43.0,383,2960,33515,1160,68,44.3,44.5
3,サントリーサンバーズ,44,37,435,462,451,274.0,78.0,1700,1907,1027,123,53.9,13.88,523,279,53,53.3,168,0.59,1697,61,317,413,5.0,1276,535,356,55.9,48.0,444,30,20,415,421,441,247.0,64.0,1588,1894,902,112,905.8,231.56,383,191,36,945.1,131,35.26,1591,67,285,348,95.8,1351,558.0,348.0,1021.2,47.0,488,2796,25408,1256,74,47.4,43.2
4,ジェイテクトSTINGS,40,36,480,459,480,185.0,37.0,1641,1993,981,128,49.2,13.82,420,220,38,52.4,124,0.5,1636,82,283,393,6.7,1267,568,314,57.2,29.0,454,31,24,440,437,458,172.0,45.0,1552,1843,888,131,964.9,251.28,386,181,42,931.8,165,46.82,1557,59,266,349,96.8,1328,573.0,305.0,1095.2,57.0,440,2992,37272,1187,71,42.8,43.3
5,パナソニックパンサーズ,46,36,469,441,454,347.0,96.0,1807,2090,1048,124,50.1,13.27,351,176,30,50.1,161,0.51,1798,69,231,384,6.0,1342,655,345,61.7,49.0,529,33,21,414,422,435,324.0,100.0,1695,2199,1073,142,925.5,258.53,504,256,53,946.7,162,38.93,1702,56,341,305,51.6,1540,693.0,420.0,1116.1,46.0,404,2792,32284,1278,79,44.2,41.6
6,堺ブレイザーズ,45,43,469,475,479,221.0,11.0,1655,1849,949,102,51.3,13.56,298,152,33,51.0,159,0.67,1644,78,290,416,6.7,1258,568,282,56.4,39.0,469,25,17,463,440,436,186.0,15.0,1540,1934,907,140,939.6,259.94,425,214,48,1007.1,137,38.99,1551,65,271,364,113.5,1325,514.0,344.0,1046.5,58.0,431,2989,22463,1186,70,45.8,39.9
7,大分三好ヴァイセアドラー,14,9,394,368,369,161.0,23.0,1315,1607,760,126,47.3,12.06,372,184,44,49.5,125,0.55,1333,49,282,279,3.6,1215,447,263,47.6,43.0,381,49,45,441,455,439,156.0,23.0,1514,1557,841,87,988.2,242.31,277,160,25,1037.5,140,41.49,1496,82,252,450,157.1,1030,525.0,198.0,1095.7,42.0,451,2718,16819,934,63,39.5,37.6
8,東レアローズ,43,34,440,442,452,294.0,53.0,1681,1970,1009,128,51.2,13.64,419,220,43,52.5,143,0.51,1675,95,358,378,6.0,1358,633,341,59.2,53.0,434,31,23,438,437,420,298.0,45.0,1638,1875,893,128,904.3,231.93,388,202,38,996.0,143,36.23,1644,63,266,341,92.8,1287,562.0,281.0,1045.5,40.0,539,2795,25683,1247,74,44.7,42.2
9,東京グレートベアーズ,19,11,387,381,385,181.0,43.0,1377,1816,839,144,46.2,12.71,456,217,52,47.6,124,0.51,1391,43,224,292,4.3,1281,532,329,54.4,44.0,371,47,43,436,424,438,215.0,36.0,1549,1819,923,114,919.7,251.21,398,204,41,902.2,151,43.65,1533,63,225,384,121.0,1150,554.0,278.0,1092.9,32.0,412,2685,31429,1006,66,38.3,36.2
